,ASIN,タイトル,価格,説明,URL,サムネイルURLs
37,B09DD357LG,キッチン 家電 電化製品 冷蔵庫 ワインセラー スタイリッシュ ミラーガラス冷蔵庫 容量20L 581702,16280.0,■サイズ：約幅40.2・奥行35.1・高さ44.8cm■重さ：約10kg■容量：20L■素材：鋼板・PS樹脂他■消費電力：65W■コードの長さ：約1.9m■仕切り棚（冷蔵室用）1枚付き■天板耐荷重：10kg■冷却方式：ペルチェ式■商品の使用時には必ずアース線を取り付けてください。■中国製これさえあれば夜中にのどが乾いたり、映画鑑賞の途中で飲み物が欲しくなっても安心。コンパクトなサイズなので、飲み物以外に化粧品や香水などを収納する専用の冷蔵庫としてもオススメです。寝室にもぴったりな静音設計で、ミラーガラス扉は左右どちらにも付替可能。置く場所を選ばないのも嬉しいポイントです。●ドアの付替が可●仕切り位置は変更可能※2Lのペットボトルは20Lサイズには入りません,https://https://www.amazon.co.jp/dp/B09DD357LG,"['https://m.media-amazon.com/images/I/51Qtx0-Wq7L.jpg', 'https://m.media-amazon.com/images/I/41wnac1TQfL.jpg', 'https://m.media-amazon.com/images/I/41OwV70FnUL.jpg', 'https://m.media-amazon.com/images/I/41cyNLFr5wL.jpg', 'https://m.media-amazon.com/images/I/41SRLmhxtSL.jpg']"
38,B0099JMMF4,ottostyle.jp ワインセラー セパレートタイプ 最大18本収納 48Lタイプ a05394_A,21600.0,リビングにベストマッチ！2段式で設定温度を上下で管理可能な家庭用ワインセラー   ■ベーシックなスタイルながらも、上品なフォルム   高級感漂うブラックは、インテリアとしてもお部屋の空間を演出します。キッチンやリビング、寝室などに。  前面のLED表示が保存状態を一目で確認できます。   ■程よい内容量と大きさが、ワインの初心者に最適   ガラスは二重構造にすることで保温性を向上し、ワインの天敵である紫外線には紫外線カットガラスを使用。  庫内には上品に照らすLED照明を装備。   ■環境に配慮したシステム   ペルチェ冷却方式の採用によりフロンガスの使用は一切なし。環境にやさしい商品です。   ■ワインセラー庫内温度を上下で設定可能！   上段は赤ワイン・下段は白ワインを保管できます。  ※赤ワインの場合は14~16℃、白ワイン場合は9~10.5℃が適温になります。   ■デジタル表示は見やすいブルーLED。   やさしい光で庫内を照らすLED照明。   ■紫外線UVカットガラス仕様   紫外線に弱いワインをUVカットペアハーフミラーガラスで守ります。   ※PSE法の技術基準にて再設計され、ロット番号とシリアル番号で管理。 ※全品に耐絶縁検査し万全な体制で出荷しております。,https://https://www.amazon.co.jp/dp/B0099JMMF4,"['https://m.media-amazon.com/images/I/41HdvmInskL.jpg', 'https://m.media-amazon.com/images/I/51dkj-NvJ1L.jpg', 'https://m.media-amazon.com/images/I/51vlI-Xuu6L.jpg', 'https://m.media-amazon.com/images/I/51DrkzohmhL.jpg', 'https://m.media-amazon.com/images/I/415J5lGQEUL.jpg', 'https://m.media-amazon.com/images/I/41qhkwE9ocL.jpg', 'https://m.media-amazon.com/images/I/41PBjCk4f8L.jpg', 'https://m.media-amazon.com/images/I/416-LSA45pL.jpg', 'https://m.media-amazon.com/images/I/41-eXa4qQIL.jpg']"
39,B074MRFXDL,ワインセラー 12本 1ドア タッチパネル ミラーガラス APWC-35C,-1.0,騒音や振動が少ないペルチェ方式です。高級感溢れるデザインがお部屋のインテリアをオシャレにします。赤ワイン・白ワインいずれも冷却可能でコレ一つで楽しめます。電子系の冷却方式を採用しているため、振動や騒音もなく、低消費電力の高性能です。温度はディスプレイに表示され、設定も簡単です。庫内を優しく照らすLEDライト付き。,https://https://www.amazon.co.jp/dp/B074MRFXDL,"['https://m.media-amazon.com/images/I/41-Maf3MYbL.jpg', 'https://m.media-amazon.com/images/I/51KDzmz-cPL.jpg', 'https://m.media-amazon.com/images/I/51d1uhIvibL.jpg', 'https://m.media-amazon.com/images/I/51Omu8kXalL.jpg', 'https://m.media-amazon.com/images/I/61WesyQlAxL.jpg', 'https://m.media-amazon.com/images/I/51MWbTfHi8L.jpg', 'https://m.media-amazon.com/images/I/518DdVaz8LL.jpg']"
40,B08T1SHK75,ottostyle.jp ワインセラー 【47L】 最大18本収納 家庭用 ペルチェ方式 タッチパネル LED 温度設定 温度表示 省エネ,16800.0,,https://https://www.amazon.co.jp/dp/B08T1SHK75,"['https://m.media-amazon.com/images/I/31RpD0nq30S.jpg', 'https://m.media-amazon.com/images/I/41kxqBfba2S.jpg', 'https://m.media-amazon.com/images/I/51yRcZeBN6S.jpg', 'https://m.media-amazon.com/images/I/51HT3HGtysS.jpg', 'https://m.media-amazon.com/images/I/41HTUlZSWtS.jpg', 'https://m.media-amazon.com/images/I/41gOurupgQS.jpg', 'https://m.media-amazon.com/images/I/31nONJasm0S.jpg']"
41,B07ZTKP5NY,ワインセラー 2層式120-140本用ワインセラー CachetteSecrete カシェットシークレット コンプレッサー ハイパワー,-1.0,▼S-Class　2層式120-140本入りワインセラー 「Cachette Secrete S-Class」の2層式120-140本ワインセラーはワインのための理想的な温度・湿度を保つためにデザイン及び設計が施されています。温度は冷却・加温の機能が完備され、5~20度の温度設定が可能です。湿度は「Moist system」により保湿に優れた構造です。セラー内の温度・湿度は安定し、よりワインの保存に適した環境作りを演出します。大容量かつデザイン性と機能面に優れたワインセラーはプロの現場を想定した業務用セラーとして、レストランをはじめ多方面からのご指示を頂戴しております。 ▼ハイパワーコンプレッサーによる柔軟な温度設定 ワインにとって急激な温度変化はダメージの原因となります。 外気温の変化や設定温度変更の際、冷却・加温ともに時間をかけて少しずつ温度変化が行われ設定温度になります。 ▼保湿（Moist system） 「Cachette Secrete　S-Class」の2層式120-140本ワインセラーは庫内で結露した水滴をエンボス壁で留めることにより湿度が下がらないよう努めます。また、結露して流れ落ちた水滴は内部タンクに一時的に溜まり、ファンの風をタンクの水に触れさせることにより、ワインセラー内の湿度が急激に低下することを防ぎます。,https://https://www.amazon.co.jp/dp/B07ZTKP5NY,"['https://m.media-amazon.com/images/I/31NpDiIvqmL.jpg', 'https://m.media-amazon.com/images/I/51irfKKKkGL.jpg', 'https://m.media-amazon.com/images/I/61Fhbx9sPaL.jpg', 'https://m.media-amazon.com/images/I/61uXLV-KLrL.jpg', 'https://m.media-amazon.com/images/I/61wVjs9dZ9L.jpg', 'https://m.media-amazon.com/images/I/6145ctS5D7L.jpg', 'https://m.media-amazon.com/images/I/61-B7Op2afL.jpg', 'https://m.media-amazon.com/images/I/61IUvoTif0L.jpg', 'https://m.media-amazon.com/images/I/51h9o-PryWL.jpg']"
42,B078TX6LFS,さくら製作所 二温度管理式ワインセラー 78本収納 SV78,160000.0,大容量サイズの2温度帯ワインセラー◆ワイドツイン冷却前列までしっかり冷気を届かせます。◆スイッチ一つで設定できる「静音モード」ファンモーター回転音が約30％静かになります。静音モードでも庫内の温度分布は十分に高い性能を維持します。◆使いやすさ/太めのボトルにも対応全棚標準装備。下段2枚以外はスライド式の棚です。太さ90mmのボトルにも対応棚の約70％を引き出せます。◆液晶の「非表示」モード液晶コン ...,https://https://www.amazon.co.jp/dp/B078TX6LFS,"['https://m.media-amazon.com/images/I/41lTQyA94ML.jpg', 'https://m.media-amazon.com/images/I/51XfM6CJTiL.jpg', 'https://m.media-amazon.com/images/I/41fAP644XSL.jpg', 'https://m.media-amazon.com/images/I/51cc23vlw5L.jpg', 'https://m.media-amazon.com/images/I/51a8hvLNSaL.jpg', 'https://m.media-amazon.com/images/I/41HjQnfw61L.jpg', 'https://m.media-amazon.com/images/I/51VVuesrVEL.jpg']"
43,B00MA55SL4,SIS株式会社 24本収納 2ドア式ワインセラー ■型番：BCW－69DD,22800.0,■商品名　2ドアワインセラー24本収納 BCW-69DD■サイズ(約)　幅43.0×奥行52.5×高さ74.0cm■内寸サイズ(約)上段：幅38.5×奥行37.3×高さ19.5cm下段：幅38.5×奥行37.3×高さ40.0cm■重量　21.5kg■容量　上段：21.5L、下段：46.3L■収納可能本数　上段：8本、下段：16本■温度制御範囲　上段：8~18℃、下段：9~18℃■周囲温度　23~26℃■消費電力　140W■付属品　棚×4段■定格電圧　100V 50/60Hz■断熱材　シクロベンタン■材質　HIPS、スチール、ガラス■注意事項　この商品は外気温に反応するため、涼しい場所に設置してください。■製造国　中国■保証期間　6ヶ月,https://https://www.amazon.co.jp/dp/B00MA55SL4,"['https://m.media-amazon.com/images/I/31VDmWGd1XL.jpg', 'https://m.media-amazon.com/images/I/512cWjsBlHL.jpg', 'https://m.media-amazon.com/images/I/61illYqGuWL.jpg', 'https://m.media-amazon.com/images/I/510SMX+EO3L.jpg']"
44,B08FT4QG2L,フォルスター ワインセラー カジュアルプラス FJC-97GS(BK) ブラック 小型,75500.0,・インバーター制御による省エネ効果、一定速コンプレッサー搭載の旧モデル（FJC-85G）に比べ約36％ダウン。過酷な夏場の周囲温度にも対応・ガラス端面の割れに配慮した扉フレームゴールドのアクセントが効いたデザインと暖色LED照明がマッチ・太いボトルも楽々収納できるワイヤーラック3層ガラス扉で紫外線を99％遮断（自社測定基準による）,https://https://www.amazon.co.jp/dp/B08FT4QG2L,"['https://m.media-amazon.com/images/I/41Y3gIjrWIL.jpg', 'https://m.media-amazon.com/images/I/41JQY9QJNZL.jpg', 'https://m.media-amazon.com/images/I/41yRs1Qjh5L.jpg', 'https://m.media-amazon.com/images/I/41fRI72nI7L.jpg', 'https://m.media-amazon.com/images/I/41qeP2KsnTL.jpg', 'https://m.media-amazon.com/images/I/41bKb02959L.jpg', 'https://m.media-amazon.com/images/I/417Pu6K5VyL.jpg', 'https://m.media-amazon.com/images/I/21uxHFZB8YL.jpg', 'https://m.media-amazon.com/images/I/319JmBPWBDL.jpg', 'https://m.media-amazon.com/images/I/41w9jVE6g7L.jpg', 'https://m.media-amazon.com/images/I/41ewOcp79TL.jpg', 'https://m.media-amazon.com/images/I/419FQwLqgqL.jpg']"
45,B006TRX4IS,ワインセラー 8本収納 BCW-25C,12800.0,庫内にライトが付くので、ラベル確認も可能です。 【商品詳細】 サイズ(約)：幅25×奥行き48.5×高さ45.5cm 内寸サイズL：17.5×31×35.5cm 重量：9.5kg 箱サイズ：29×54×47.9cm,https://https://www.amazon.co.jp/dp/B006TRX4IS,"['https://m.media-amazon.com/images/I/41j1fQrn7gL.jpg', 'https://m.media-amazon.com/images/I/51gNSXWxmML.jpg', 'https://m.media-amazon.com/images/I/41oDQiVmLqL.jpg', 'https://m.media-amazon.com/images/I/51j-yhotodL.jpg']"
46,B07XV9YL6X,EUROCAVE ワインセラー ユーロカーブ カーボンフィルター(全シリーズ対応)(正規品),3567.0,ユーロカーブはカーボンフィルタを通して常時庫内に空気を取り入れています。それにより、湿度の調整など、空気の浄化以外にも役立っています。中の活性炭が劣化して固まると、通気を妨げて臭いがこもったり、湿度が不安定になりかねませんので、1年毎の交換をオススメいたします。 交換目安:1年毎 生産地:フランス 全機種共通,https://https://www.amazon.co.jp/dp/B07XV9YL6X,['https://m.media-amazon.com/images/I/31yKhj2ZxGL.jpg']
47,B07QS36RSW,Bellezza カジュアル シートカバー 【適合】 型式・JB64W ジムニー 【適合】 型式・JB74W ジムニーシエラ 年式・H30/7- 定員・4人 ワインレッドBECUS698WR1 BECUS698WR1,17331.0,●【適合可能】【型式】JB64W ジムニー【年式】H30/7-【定員】4人【グレード】 XC / XL(セーフティサポート装着車含む)【適合シート形状】 後席背もたれ5:5分割シート【注意事項】 【適合不可】 XG(セーフティサポート装着車含む)●【適合可能】【型式】JB74W ジムニーシエラ【年式】H30/7-【定員】4人【グレード】 JC / JL(セーフティサポート装着車含む)【適合シート形状】 後席背もたれ5:5分割シート【注意事項】 【適合不可】,https://https://www.amazon.co.jp/dp/B07QS36RSW,"['https://m.media-amazon.com/images/I/313sZbUKiIL.jpg', 'https://m.media-amazon.com/images/I/5161uz+Ng5L.jpg', 'https://m.media-amazon.com/images/I/41fgIkOkq0L.jpg', 'https://m.media-amazon.com/images/I/41gv-HNVKJL.jpg']"
48,B091MPXVCD,エルロン 3way冷蔵庫 42リットル (カバー付),51000.0,接触による傷を防止し、保温素材により最大2-3℃の保冷力補助効果を持ちます。,https://https://www.amazon.co.jp/dp/B091MPXVCD,['https://m.media-amazon.com/images/I/31MIwq4S1fS.jpg']
49,B07THRQRYF,CF-C15W-W 15本用ワインセラー コンプレッサー式,39402.0,●コンパクトでありながら、本格的な仕様のワインセラーです。●静粛性に定評のあるデバイスタイル社上位機種CD-30Wと同型のコンプレッサーを採用、庫内はブルゴーニュタイプのボトルも収納可能な棚ピッチ90mmを確保した大容積となっております。 ※ボトルの形状により収納できない場合があります。●ニーズの高い斜め置きにも対応しました。●インテリア性に配慮した前面フルガラスドアを採用していますので、さまざまなインテリアで設置いただくことができます。●ファンレス構造を採用することで、より静粛性を向上させています。,https://https://www.amazon.co.jp/dp/B07THRQRYF,"['https://m.media-amazon.com/images/I/41mZ2oFIzAL.jpg', 'https://m.media-amazon.com/images/I/41GH2HxTYaL.jpg', 'https://m.media-amazon.com/images/I/41pUhwMbeCL.jpg', 'https://m.media-amazon.com/images/I/41hmo5v44wL.jpg', 'https://m.media-amazon.com/images/I/41ybxHpd5-L.jpg', 'https://m.media-amazon.com/images/I/51M4uCu+zrL.jpg']"
50,B0009UUNPI,deviceSTYLE Angelshare ワインセラー WA-1-K,-1.0,●特別な1本をじっくり熟成させる遊び心あふれるワインセラー ●最適温度制御:冷却制御、加熱制御 ●65%以上の湿度維持 ●超静粛性・低振動 ●紫外線防御ウインドウ ●ノンフロン・ノンコンプレッサー ●3段階温度設定 ●1本収納タイプ,https://https://www.amazon.co.jp/dp/B0009UUNPI,"['https://m.media-amazon.com/images/I/314MSVGS5BL.jpg', 'https://m.media-amazon.com/images/I/41F9DXXT33L.jpg', 'https://m.media-amazon.com/images/I/417TEVX0WEL.jpg']"
51,B079JRX9SL,ハイアール ワインクーラー JQ-F360A 360L(156本収納) JQ-F360A,165690.0,ハイアール（Haier） ファン式 ワインクーラー JQ-F360A　(156本用)<br> 156本収納可能なホームワインクーラー<br> 高級感溢れるステンレスフレームドア<br> 木製ラック搭載<br> 上下独立した区間で2つの温度設定が可能（庫内多温度域設定タイプ）<br> 世界160カ国で信頼を得ている家電ブランド<br> ハイアール社が手掛けるワインクーラー(ワインセラー)　,https://https://www.amazon.co.jp/dp/B079JRX9SL,"['https://m.media-amazon.com/images/I/51klC7wfPJL.jpg', 'https://m.media-amazon.com/images/I/41EvINSVQXL.jpg', 'https://m.media-amazon.com/images/I/31F0nm-cBxL.jpg']"
52,B095JWPVMM,アイリスオーヤマ 冷蔵庫下床保護パネル XS RPH-XS,3828.0,●プラスチックの中では最高ランクの衝撃性能を持つポリカーボネート製のパネル。●ハンマーで叩いても大丈夫!お家の床を傷やへこみから守ります。●耐熱120℃の床暖房対応設計で、アクリルよりも燃えにくく難燃性があるので、安心してご利用頂けます。,https://https://www.amazon.co.jp/dp/B095JWPVMM,"['https://m.media-amazon.com/images/I/41FZQbCZS7L.jpg', 'https://m.media-amazon.com/images/I/41yqdnzTf6L.jpg', 'https://m.media-amazon.com/images/I/31D-iY8hBDL.jpg']"
53,B073XXZC5J,フォルスター ワインセラー ホームセラー FJN-65G(BK) ブラック 18本収納 リバーシブルワイヤーラック,-1.0,マルチLED照明とオール傾斜ラック「魅せる機能」を進化させたホームセラーがさらに省エネ化を実現し新登場！■さらなる省エネ化を実現　・従来機種の魅せる機能をそのままに冷却システムの制御改善改良を加え、さらなる省エネ化を実現■ロングフレッシュの技術・システムを活用　・ロングフレッシュで定評のある加湿循環方式の機能を凝縮。　・表面積が広いアルミフィン式冷却ユニットに水分を結露させ、ファンで還元することで高いレベルの湿度を維持。■リバーシブルラックを採用　・上下を反転させるとキャップシールを手前にしたフラット陳列も可能。　・棚ピッチは傾斜仕様でも87mm、シャンパーニュなどの太いボトルにも対応。■トップ＆サイドにマルチLED照明　・庫内上部と両サイドに暖色LEDをマルチに装備。　・庫内全体を照らし、お気に入りのボトルやラベルを美しく際立たせます。■フルフラットの3層ガラス扉　・フレームのないフルフラットガラスのシックなデザイン。　・3層ガラス構造で梅雨時や夏場の結露発生も軽減します。■マグナムボトル・一升瓶もスッキリ収納　・ラックを外すと、マグナムボトルやレギュラーボトル、日本酒の一升瓶も効率よく収納できます。,https://https://www.amazon.co.jp/dp/B073XXZC5J,"['https://m.media-amazon.com/images/I/41K5Zz1GqlL.jpg', 'https://m.media-amazon.com/images/I/51OzZRFrkFL.jpg', 'https://m.media-amazon.com/images/I/514tFpHRDML.jpg', 'https://m.media-amazon.com/images/I/41BFKgPmy3L.jpg', 'https://m.media-amazon.com/images/I/51GMcxZyzJL.jpg', 'https://m.media-amazon.com/images/I/41Jo-pMgB-L.jpg', 'https://m.media-amazon.com/images/I/51fUlkQTkxL.jpg']"
54,B074MRJYW3,ワインセラー 24本 2ドア タッチパネル 上下段別温度設定 ミラーガラス APWC-69D,32705.0,2ドアで赤ワインと白ワイン用の温度設定が同時にできるワインセラーです。騒音や振動が少ないペルチェ方式を採用。高級感溢れるデザインがお部屋のインテリアをオシャレにします。温度はスタイリッシュなLEDディスプレイに表示され、設定もタッチパネルで直感的に操作できます。ドアパネルのガラスがUVカット仕様なのでワインの保存に最適です。庫内を優しく照らすLEDライト付き。,https://https://www.amazon.co.jp/dp/B074MRJYW3,"['https://m.media-amazon.com/images/I/4168ZrN5WFL.jpg', 'https://m.media-amazon.com/images/I/5117NkBxu6L.jpg', 'https://m.media-amazon.com/images/I/51d1uhIvibL.jpg', 'https://m.media-amazon.com/images/I/51ekpKZDMPL.jpg', 'https://m.media-amazon.com/images/I/614nzyBvAZL.jpg', 'https://m.media-amazon.com/images/I/61TiQik1MCL.jpg', 'https://m.media-amazon.com/images/I/519qjK0sYZL.jpg']"
55,B0009UUNQ2,deviceSTYLE Angelshare ワインセラー シルバー WA-6-S,-1.0,●業界初！セラー1個からシステムアップが可能<br> ●冬季など外気湿度が低くなる時のために加湿トレイを設置,https://https://www.amazon.co.jp/dp/B0009UUNQ2,"['https://m.media-amazon.com/images/I/41DSYBPC51L.jpg', 'https://m.media-amazon.com/images/I/41HSCZVM8DL.jpg', 'https://m.media-amazon.com/images/I/51Y877RTXML.jpg', 'https://m.media-amazon.com/images/I/419JJBMHWPL.jpg', 'https://m.media-amazon.com/images/I/41EK5EEYSSL.jpg', 'https://m.media-amazon.com/images/I/41M4HGXPRTL.jpg', 'https://m.media-amazon.com/images/I/41DPHZC06TL.jpg']"
56,B005A0CZMQ,+LOUNGE 6本収納ワインセラー LNE-W306B[ペルチェ式/UVカットガラス/加湿トレー付],20500.0,商品の説明          【6本収納ワインセラー】 コンパクトに、正しく、美味しく保存。フルフラットタッチセンサー&静音設計で、デザインも機能も充実 加湿トレイによる適度な保湿でコルクも最高の状態をキープ。いつまでも美味しくワインを保存します。おいしいワインを保つためのUVカット加工を使用 幻想的なブルーライトが庫内をスタイリッシュに照らします。             Amazonより          ●コンパクトな6本収納タイプ、+LOUNGEワインセラー●温度管理の難しいワインを、適切な温度で保管できる6本収納のワインセラー。ご自宅でワインをもっと美味しく、手軽に楽しめる●コンパクトサイズなので、お部屋の場所を取らない。フルフラットタッチパネルで操作もラクラク。ワインセラーが初めての方にもオススメ●ワインクーラーと異なる点は加湿トレーが付いていること。コルクが自然と乾燥してしまうの防ぐ●タッチパネルの文字は大きく表示されるので設定が簡単。また点灯するライトはまばゆく輝くブルーライトを採用,https://https://www.amazon.co.jp/dp/B005A0CZMQ,"['https://m.media-amazon.com/images/I/41OKFk2a-2L.jpg', 'https://m.media-amazon.com/images/I/51N3iKcvgML.jpg', 'https://m.media-amazon.com/images/I/51HkD1-jJlL.jpg', 'https://m.media-amazon.com/images/I/51qaR7zHh2L.jpg', 'https://m.media-amazon.com/images/I/51A5waSwz0L.jpg', 'https://m.media-amazon.com/images/I/51zSr4tw9NL.jpg', 'https://m.media-amazon.com/images/I/51mUrmiq4wL.jpg', 'https://m.media-amazon.com/images/I/51pUF8yDwbL.jpg']"
57,B0756DZRRZ,ottostyle.jp ワインセラー 容量 33L セパレート 2段式 【最大 12本収納 スリム】 家庭用 ペルチェ方式 タッチパネル 紫外線 UV カットガラス (上下2段式で設定温度を管理可能),16900.0,,https://https://www.amazon.co.jp/dp/B0756DZRRZ,"['https://m.media-amazon.com/images/I/412P2YsPYuL.jpg', 'https://m.media-amazon.com/images/I/51WRznEfbGL.jpg', 'https://m.media-amazon.com/images/I/51QsONoAQsL.jpg', 'https://m.media-amazon.com/images/I/51fAOzOQHYL.jpg', 'https://m.media-amazon.com/images/I/51i+4Hlov2L.jpg', 'https://m.media-amazon.com/images/I/41LXirK7pTL.jpg', 'https://m.media-amazon.com/images/I/41097uOCxAL.jpg', 'https://m.media-amazon.com/images/I/413cEiBs1EL.jpg', 'https://m.media-amazon.com/images/I/41LInnRGmaL.jpg']"
58,B07FD7FS74,ツインバード お茶ひき器 緑茶美採 MT-DF71BR,6080.0,緑茶の栄養まるごとっ。ビックカメラグループオリジナル商品。話題のカテキンを粉末緑茶でまるごと摂取。1日3~6gの緑茶を食べて健康ライフ。粉末緑茶は経済的で冷茶も簡単。茶殻もでません。普通に飲むだけではなく、アレンジレシピ満載なレシピ。粉末緑茶が容器に移しやすいワイドブラシ付。粉末緑茶保存缶寸法 直径75×高さ40mm。カッターコーティング ブラックチタンコートメニュー一覧 あり消費電力 55付属品 レシピブック×1冊、粉末緑茶保存缶×1、ワイドブラシ×1、スプーン×1本体サイズ(高さ×幅×奥行) 155×98×115mm本体重量 730g容量 最大調理量10g(緑茶),https://https://www.amazon.co.jp/dp/B07FD7FS74,"['https://m.media-amazon.com/images/I/31b3BbOoybL.jpg', 'https://m.media-amazon.com/images/I/316tyJMz2cL.jpg', 'https://m.media-amazon.com/images/I/3135V5HL5uL.jpg', 'https://m.media-amazon.com/images/I/316D9UU+MpL.jpg', 'https://m.media-amazon.com/images/I/31-SvfIEzwL.jpg', 'https://m.media-amazon.com/images/I/31ZuxAPCoqL.jpg']"
59,B00CSCAV70,グローバル ファンヴィーノ 6035 左取手 12本用 SW-12 間口×奥行×高さ(mm):395×520×510,54387.0,商品紹介      不明      ご注意（免責）＞必ずお読みください      ＜放熱のため、セラーの周りにスペースを確保ください＞ 設置スペース(本体サイズ含む)：幅595×620×610mm 【保証期間】基幹機能である冷却循環回路(圧縮機・凝縮器・冷却器・ 毛細管・配管)の保証を「5年間」、それ以外の庫内灯や扉、 基盤などの本体周りの保証を「1年間」とさせて頂いております。私たちがお約束した条件での期間内の故障につきましては、無償で修理・交換などで対応いたします。,https://https://www.amazon.co.jp/dp/B00CSCAV70,"['https://m.media-amazon.com/images/I/41FpwG6c6OL.jpg', 'https://m.media-amazon.com/images/I/41gOgEDkXZL.jpg', 'https://m.media-amazon.com/images/I/51Sq+kQl0ZL.jpg', 'https://m.media-amazon.com/images/I/51A-hW6uDPL.jpg', 'https://m.media-amazon.com/images/I/51Auz1oISdL.jpg', 'https://m.media-amazon.com/images/I/61V+qPQCp-L.jpg', 'https://m.media-amazon.com/images/I/61cm03o-KcL.jpg', 'https://m.media-amazon.com/images/I/61Oao2pkBiL.jpg', 'https://m.media-amazon.com/images/I/51X9EFyVP8L.jpg']"
60,B009C2RY10,apro 電子式家庭用ワインセラー 4本収納タイプ KCF-W204K,-1.0,【美味しさのための素材と構造】ドア素材には半透過のミラーパネルを採用。ワインに悪影響を与える光の侵入を防ぎます。また内部の丈夫なワイヤーラックは庫内の良好な空気循環に貢献します。【どこにでもおける静粛性】動作音が極めて静かなペルチェ式温度管理。リビングルームはもちろん、寝室に設置することも問題ありません。【簡単で見やすい管理操作】庫内温度はドア表面に発光表示され、8~18℃の範囲でお好みに設定できます。庫内照明もついており、貯蔵物を見やすくなっています。,https://https://www.amazon.co.jp/dp/B009C2RY10,"['https://m.media-amazon.com/images/I/31fF1i5SZ9L.jpg', 'https://m.media-amazon.com/images/I/31JX8X66s+L.jpg']"
61,B09KKRBV19,deviceSTYLE 8本収納タイプ ペルチェ式 ワインセラー CE-8W-R,23100.0,➢ コンパクトなインパクト　カラーセレクション 当社ロングセラーモデルのペルチェ式 8本用*ワインセラー『CE-8W』の台数限定カラーバージョンです。前面ガラスをヴィヴィッドなレッドに、側面には前面ガラスが引き立つブラックを配しました。ドアハンドルとワイン棚のフロントエンドにはステンレスをあしらいアクセントとしています 。別売りアクセサリーの『CE8W-KT』を使用すれば、縦に2台積み重ねて据付もできます。 *標準的な ボルドータイプのボトルの場合。ボトルの形状によっては収納できない場合があります。 ➢ コンパクト・省スペース設計 『CE-8W』は幅264ｍｍ、奥行き570ｍｍ、高さ452ｍｍの省スペース設計。リビングやキッチンのちょっとしたスペースに据付可能。静音性に優れたペルチェ式ですので寝室にも。据え付ける場所を選びません。 ➢ 充実の基本機能・性能 タッチパネルにより1℃きざみで温度設定が可能。棚ピッチはブルゴーニュタイプのボトルが収納可能な84mmを確保。ドアには断熱効果の高いぺアガラスを採用するなど基本機能・性能にもこだわりました。信頼性の高い日本メーカー製*ペルチェ素子を採用しています。 *日本国内での製造ではありません。 ➢ 縦置きも可能 ワイン棚を取り外すと、四合瓶の縦置き収納が可能*です。*縦置きした場合の標準的な収納本数は 6本です。 ■主な特長 ・ペルチェ冷却 静音性に優れ、ワインにストレスをかける振動もありません。 ・ワイン 8本 収納* コンパクトながら22Lの広い庫内。棚ピッチは 84ｍｍを確保。お酒を立てて収納することも可能です。 *標準的なボルドータイプのボトルの場合。ボトルの形状などによって収納本数はかわる場合があります。 ・ワイドな温度設定 タッチパネルにより 1℃きざみで温度設定可能。赤や白、スパークリングなどのワインの種類や、日本酒といったお酒の種類にそれぞれ適した温度の設定ができます。4~22℃の範囲で設定可能 です。 ・ペアガラス採用 断熱効果が高いペアガラスを採用。,https://https://www.amazon.co.jp/dp/B09KKRBV19,"['https://m.media-amazon.com/images/I/31NI7GBOz6L.jpg', 'https://m.media-amazon.com/images/I/41TogT-WEaL.jpg', 'https://m.media-amazon.com/images/I/41U5UuoPi9L.jpg', 'https://m.media-amazon.com/images/I/31lcpQN0yPL.jpg', 'https://m.media-amazon.com/images/I/41XEQ-vr4JL.jpg', 'https://m.media-amazon.com/images/I/31DhKaFyDcL.jpg', 'https://m.media-amazon.com/images/I/312yP7FcfoL.jpg', 'https://m.media-amazon.com/images/I/41K4jjgId-L.jpg', 'https://m.media-amazon.com/images/I/318ecLILPWL.jpg']"
